CustomerTenure,TotalRevenue,OrderFrequency,TotalProductSubCategories,MostPurchasedCategory,AvgDaysBetweenOrders,RecencyRatio,ChurnLabel,Cluster,ClusterLabel
1105,9.01796726720678,1.3862943611198906,6,1,417.0,0.499248070423251,1,1,Loyal Customers
1109,8.761687974241479,1.3862943611198906,7,1,530.0,0.0884254710262059,0,1,Loyal Customers
1117,9.001474409080105,1.3862943611198906,3,1,389.0,0.6267217045778014,1,1,Loyal Customers
1126,9.004581084897602,1.3862943611198906,5,1,431.0,0.4763638704028478,1,1,Loyal Customers
1101,9.011524732610807,1.3862943611198906,4,1,414.0,0.5050116539000431,1,1,Loyal Customers
1125,9.002372337807456,1.3862943611198906,3,1,427.0,0.4914350895333396,1,1,Loyal Customers
1100,9.00208912773018,1.3862943611198906,3,1,420.0,0.4803664162808698,1,1,Loyal Customers
1115,9.013351778138825,1.3862943611198906,5,1,400.0,0.5808179955860256,1,1,Loyal Customers
1099,9.000521402815902,1.3862943611198906,5,1,383.0,0.624247553513096,1,1,Loyal Customers
1097,8.998671978474402,1.3862943611198906,4,1,416.0,0.4914075379086538,1,1,Loyal Customers
1110,8.998265337992745,1.3862943611198906,3,1,430.0,0.4583075894824118,1,1,Loyal Customers
1125,9.003813004084781,1.3862943611198906,3,1,405.0,0.5753641449031243,1,1,Loyal Customers
318,4.409884962802278,1.0986122886681098,2,0,213.0,0.4007592170701668,0,4,Frequent Low Spenders
290,4.744584241770769,1.0986122886681098,2,0,283.0,0.0244340253371303,0,4,Frequent Low Spenders
311,4.937706114073498,1.0986122886681098,3,0,38.0,2.102206752452752,1,4,Frequent Low Spenders
375,7.824833700547297,0.6931471805599453,3,0,0.0,5.828945617610208,1,2,At Risk High Spenders
353,7.755030281965255,0.6931471805599453,2,1,0.0,5.828945617610208,1,2,At Risk High Spenders
1112,8.769555292918069,1.3862943611198906,3,1,503.0,0.1912280976100642,0,1,Loyal Customers
1107,8.784817444012987,1.3862943611198906,5,1,505.0,0.1740365052590158,0,1,Loyal Customers
350,6.784117638523959,2.8903717578961645,8,0,20.0,0.5877866649021191,0,3,High Value Customers
395,7.748447081624402,0.6931471805599453,2,0,0.0,5.828945617610208,1,2,At Risk High Spenders
370,7.771893399993653,0.6931471805599453,3,1,0.0,5.828945617610208,1,2,At Risk High Spenders
373,7.750735259299305,0.6931471805599453,2,0,0.0,5.828945617610208,1,2,At Risk High Spenders
345,4.814133673728467,1.0986122886681098,3,0,331.0,0.0414260416537664,0,4,Frequent Low Spenders
215,4.051958845725663,1.0986122886681098,2,0,29.0,2.0033421981411514,1,4,Frequent Low Spenders
1118,8.791455621908549,1.3862943611198906,5,1,511.0,0.1705103958651644,0,1,Loyal Customers
1101,8.791302063340478,1.3862943611198906,5,1,498.0,0.1913171197017265,0,1,Loyal Customers
1108,8.793698536297729,1.3862943611198906,6,1,506.0,0.1737207760212691,0,1,Loyal Customers
1098,8.775799634879476,1.3862943611198906,3,1,492.0,0.2067497415377465,0,1,Loyal Customers
1105,8.789704264006708,1.3862943611198906,5,1,513.0,0.1415401722346941,0,1,Loyal Customers
1088,8.775289901273752,1.3862943611198906,3,1,504.0,0.1473247147567214,0,1,Loyal Customers
1092,8.776414059045983,1.3862943611198906,4,1,508.0,0.1394195352492246,0,1,Loyal Customers
1075,8.783635284075485,1.3862943611198906,6,1,497.0,0.1509838425755601,0,1,Loyal Customers
1078,8.778986523702194,1.3862943611198906,5,1,497.0,0.1561607307552463,0,1,Loyal Customers
1092,8.778375218855311,1.3862943611198906,3,1,506.0,0.1450751779440114,0,1,Loyal Customers
1087,8.772193485208046,1.3862943611198906,3,1,506.0,0.1364914342525305,0,1,Loyal Customers
371,7.764712055771099,0.6931471805599453,2,0,0.0,5.828945617610208,1,2,At Risk High Spenders
373,7.772849553885111,0.6931471805599453,4,1,0.0,5.828945617610208,1,2,At Risk High Spenders
1086,8.770024468699805,1.3862943611198906,2,1,504.0,0.1421744887798679,0,1,Loyal Customers
1086,8.800502718208257,1.3862943611198906,5,1,504.0,0.1438941796592857,0,1,Loyal Customers
300,7.763004302071179,0.6931471805599453,3,2,0.0,5.828945617610208,1,2,At Risk High Spenders
379,7.775473223058904,0.6931471805599453,3,1,0.0,5.828945617610208,1,2,At Risk High Spenders
372,8.043448171890393,1.0986122886681098,3,1,269.0,0.3241824746707376,0,1,Loyal Customers
265,3.891412051524022,1.0986122886681098,2,0,102.0,0.9547570127018454,0,4,Frequent Low Spenders
1065,8.782062009177757,1.3862943611198906,5,1,492.0,0.1524070002220335,0,1,Loyal Customers
293,4.753245304053455,1.0986122886681098,3,2,202.0,0.3719049116152073,0,4,Frequent Low Spenders
1087,8.797519778489496,1.3862943611198906,5,1,505.0,0.141912018455425,0,1,Loyal Customers
1090,8.792295975331916,1.3862943611198906,3,1,510.0,0.1286173778214039,0,1,Loyal Customers
1083,8.77944052597077,1.3862943611198906,6,1,524.0,0.0628672780600752,0,1,Loyal Customers
325,4.409884962802278,1.0986122886681098,2,0,234.0,0.328504066971396,0,4,Frequent Low Spenders
1073,8.518851815139106,1.3862943611198906,5,1,501.0,0.1307831085709387,0,1,Loyal Customers
30,4.827913657280962,1.0986122886681098,4,2,3.0,2.302585092994046,0,4,Frequent Low Spenders
1076,9.00360152468725,1.3862943611198906,4,1,415.0,0.4654753196207686,1,1,Loyal Customers
376,7.754044058990368,0.6931471805599453,2,0,0.0,5.828945617610208,1,2,At Risk High Spenders
1090,9.014814419598604,1.3862943611198906,5,1,423.0,0.4539174914938679,1,1,Loyal Customers
1093,9.008103005481162,1.3862943611198906,5,1,429.0,0.4368252305480629,1,1,Loyal Customers
1067,9.012925481734571,1.3862943611198906,6,1,412.0,0.4620840021072319,1,1,Loyal Customers
1071,8.998265337992745,1.3862943611198906,3,1,409.0,0.4800386838086349,1,1,Loyal Customers
